,Title,Country,Location,Year,Total_Floors,Apart_Floors,Apart_Rooms,Total_Area,Price,Continent,C-Code,Price_category,Time_Period
27527,"1 room apartment 40 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",2011,12,6,1,40,72000.0,Europe,5,Low price,2010on
27528,"1 room apartment 42 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",2005,9,4,1,42,77000.0,Europe,5,Low price,2000-2010
27529,"3 room apartment 64 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",2021,25,4,3,64,74100.0,Europe,5,Low price,2010on
27530,"2 room apartment 48 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",2021,25,6,2,48,78480.0,Europe,5,Low price,2010on
27531,"1 room apartment 46 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",2014,22,19,1,46,75000.0,Europe,5,Low price,2010on
27532,"3 room apartment 76 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",1999,9,3,3,76,87500.0,Europe,5,Low price,1950-2000
27533,"3 room apartment 61 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",1966,5,4,3,61,73000.0,Europe,5,Low price,1950-2000
27534,"3 room apartment 58 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",2023,25,12,3,58,83640.0,Europe,5,Low price,2010on
27535,"2 room apartment 48 m² in Kobryn, Belarus",Belarus,"Kobryn, Brest Region, Kobryn District, Belarus",1976,5,5,2,48,20000.0,Europe,5,Low price,1950-2000
27536,"4 room apartment 58 m² in Rahachow, Belarus",Belarus,"Rahachow, Homel Region, Rahačoŭ District, Belarus",1972,5,4,4,58,18500.0,Europe,5,Low price,1950-2000
27537,"3 room apartment 49 m² in Byalynichy, Belarus",Belarus,"Byalynichy, Mahilyow Region, Byalynichy District, Belarus",1977,5,5,3,49,20900.0,Europe,5,Low price,1950-2000
27538,"2 room apartment 41 m² in Vawkavysk, Belarus",Belarus,"Vawkavysk, Hrodna Region, Vawkavysk District, Belarus",1973,5,3,2,41,24000.0,Europe,5,Low price,1950-2000
27539,"2 room apartment 49 m² in Kamyanyets, Belarus",Belarus,"Kamyanyets, Brest Region, Kamenets District, Belarus",1981,3,2,2,49,22500.0,Europe,5,Low price,1950-2000
27540,"2 room apartment 46 m² in Orsha, Belarus",Belarus,"Vitsebsk Region, Orsha, Orsha District, Belarus",1968,5,5,2,46,23000.0,Europe,5,Low price,1950-2000
27541,"2 room apartment 55 m² in Zhabinka, Belarus",Belarus,"Zhabinka, Brest Region, Zhabinka District, Belarus",1984,4,3,2,55,23200.0,Europe,5,Low price,1950-2000
27542,"1 room apartment 31 m² in Brest, Belarus",Belarus,"Brest Region, Brest, Belarus",1962,4,2,1,31,26000.0,Europe,5,Low price,1950-2000
27543,"3 room apartment 60 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",1980,9,4,3,60,78000.0,Europe,5,Low price,1950-2000
27544,"1 room apartment 35 m² in Barysaw, Belarus",Belarus,"Minsk Region, Barysaw, Barysaw District, Belarus",1977,5,4,1,35,23700.0,Europe,5,Low price,1950-2000
27545,"1 room apartment 35 m² in Homel, Belarus",Belarus,"Homel Region, Homel, Belarus",1991,9,9,1,35,22000.0,Europe,5,Low price,1950-2000
27546,"2 room apartment 46 m² in Mazyr, Belarus",Belarus,"Homel Region, Mazyr, Mazyr District, Belarus",1957,2,1,2,46,22000.0,Europe,5,Low price,1950-2000
27547,"2 room apartment 49 m² in Orsha, Belarus",Belarus,"Vitsebsk Region, Orsha, Orsha District, Belarus",1968,5,1,2,49,24000.0,Europe,5,Low price,1950-2000
27548,"2 room apartment 49 m² in Kobryn, Belarus",Belarus,"Kobryn, Brest Region, Kobryn District, Belarus",1973,5,5,2,49,28000.0,Europe,5,Low price,1950-2000
27549,"1 room apartment 26 m² in Brest, Belarus",Belarus,"Brest Region, Brest, Belarus",1987,5,4,1,26,26900.0,Europe,5,Low price,1950-2000
27550,"2 room apartment 49 m² in Rechytsa, Belarus",Belarus,"Rechytsa, Homel Region, Rechytsa District, Belarus",1974,5,5,2,49,23500.0,Europe,5,Low price,1950-2000
27551,"4 room apartment 74 m² in Slonim, Belarus",Belarus,"Slonim, Hrodna Region, Slonim District, Belarus",1989,5,1,4,74,26000.0,Europe,5,Low price,1950-2000
27552,"2 room apartment 46 m² in Baran, Belarus",Belarus,"Baran, Vitsebsk Region, Orsha District, Belarus",1974,5,5,2,46,16500.0,Europe,5,Low price,1950-2000
27553,"2 room apartment 49 m² in Baran, Belarus",Belarus,"Baran, Vitsebsk Region, Orsha District, Belarus",1996,9,8,2,49,17000.0,Europe,5,Low price,1950-2000
27554,"2 room apartment 45 m² in Pielisca, Belarus",Belarus,"Pielisca, Brest Region, Pieliscanski sielski Saviet, Kamenets District, Belarus",1969,3,1,2,45,14500.0,Europe,5,Low price,1950-2000
27555,"1 room apartment 32 m² in Rudensk, Belarus",Belarus,"Rudensk, Minsk Region, Pukhavichy District, Belarus",1958,1,1,1,32,13200.0,Europe,5,Low price,1950-2000
