,title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_total_area,price_in_USD,Continent
63383,"3 room apartment 62 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,19.0,12.0,3.0,62.0,143026.0,Asia
63384,"2 room apartment 38 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,19.0,19.0,2.0,38.0,101562.0,Asia
63385,"1 room apartment 37 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,14.0,3.0,1.0,37.0,101174.0,Asia
63386,"2 room apartment 39 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,18.0,2.0,39.0,107917.0,Asia
63387,"3 room apartment 63 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,9.0,8.0,3.0,63.0,135278.0,Asia
63392,"4 room apartment 66 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,18.0,7.0,4.0,66.0,153798.0,Asia
63393,"2 room apartment 50 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,11.0,2.0,50.0,150255.0,Asia
63401,"4 room apartment 100 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,16.0,4.0,100.0,244919.0,Asia
63402,"2 room apartment 54 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,12.0,2.0,54.0,136695.0,Asia
63403,"2 room apartment 54 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,14.0,9.0,2.0,54.0,129393.0,Asia
63404,"3 room apartment 75 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,8.0,3.0,75.0,147762.0,Asia
63405,"2 room apartment 49 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,17.0,13.0,2.0,49.0,127771.0,Asia
63406,"2 room apartment 47 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,21.0,15.0,2.0,47.0,130808.0,Asia
63407,"2 room apartment 37 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,13.0,2.0,37.0,126076.0,Asia
63408,"2 room apartment 50 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,15.0,2.0,50.0,132988.0,Asia
63409,"1 room apartment 36 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,16.0,10.0,1.0,36.0,123232.0,Asia
63410,"2 room apartment 46 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,9.0,8.0,2.0,46.0,121039.0,Asia
63416,"3 room apartment 76 m² in Vsevolozhsk, Russia",Russia,"Northwestern Federal District, Vsevolozhsk, Vsevolozhsky District, Russia",2025,12.0,9.0,3.0,76.0,99799.0,Asia
63417,"2 room apartment 40 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2025,30.0,26.0,2.0,40.0,118170.0,Asia
63418,"2 room apartment 40 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,14.0,2.0,40.0,111117.0,Asia
63419,"1 room apartment 23 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,18.0,1.0,23.0,95048.0,Asia
63420,"1 room apartment 31 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,12.0,7.0,1.0,31.0,97438.0,Asia
63421,"1 room apartment 38 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,7.0,1.0,38.0,109637.0,Asia
63422,"1 room apartment 34 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,12.0,7.0,1.0,34.0,117969.0,Asia
63423,"2 room apartment 43 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,10.0,2.0,2.0,43.0,106786.0,Asia
63424,"1 room apartment 36 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,16.0,1.0,36.0,131976.0,Asia
63435,"2 room apartment 43 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2026,16.0,9.0,2.0,43.0,240633.0,Asia
63436,"2 room apartment 41 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,17.0,16.0,2.0,41.0,107387.0,Asia
63437,"1 room apartment 37 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,11.0,1.0,37.0,119384.0,Asia
